_id	listing_url	property_type	room_type	bed_type	minimum_nights	maximum_nights	cancellation_policy	first_review	last_review	accommodates	bedrooms	beds	number_of_reviews	bathrooms	amenities	price	security_deposit	cleaning_fee	extra_people	guests_included	weekly_price	monthly_price	reviews_per_month	review_scores_accuracy	review_scores_cleanliness	review_scores_checkin	review_scores_communication	review_scores_location	review_scores_value	review_scores_rating	availability_30	availability_60	availability_90	availability_365	host_response_time	host_response_rate	host_is_superhost	host_has_profile_pic	host_identity_verified	host_listings_count	host_total_listings_count	address_country_code	address_location_coordinates	address_location_is_location_exact
22164073	https://www.airbnb.com/rooms/22164073	Apartment	Entire home/apt	Real Bed	2	14	moderate	2018-01-03T05:00:00Z	2018-12-10T05:00:00Z	2	1	1	15	1		130	100	60	0	1	NA	NA	NA	10	9	10	10	9	9	97	0	0	0	0	within an hour	100	TRUE	TRUE	FALSE	1	1	US		TRUE
22165464	https://www.airbnb.com/rooms/22165464	Apartment	Entire home/apt	Real Bed	31	1124	strict_14_with_grace_period	2018-01-04T05:00:00Z	2018-01-04T05:00:00Z	4	2	2	1	1		200	1350	330	0	1	NA	NA	NA	8	8	6	10	10	8	80	4	34	64	339	within a few hours	91	FALSE	TRUE	TRUE	158	158	AU		TRUE
22182168	https://www.airbnb.com/rooms/22182168	Apartment	Private room	Real Bed	3	30	flexible	NA	NA	2	1	1	0	1		70	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	FALSE	TRUE	FALSE	1	1	AU		TRUE
22199192	https://www.airbnb.com/rooms/22199192	Apartment	Entire home/apt	Real Bed	3	1123	strict_14_with_grace_period	2018-01-01T05:00:00Z	2019-01-26T05:00:00Z	4	1	2	35	1		59	150	25	10	2	NA	NA	NA	10	10	10	10	10	10	98	9	35	57	211	within an hour	100	TRUE	TRUE	FALSE	23	23	PT		TRUE
22266125	https://www.airbnb.com/rooms/22266125	Apartment	Entire home/apt	Real Bed	2	90	strict_14_with_grace_period	2017-12-18T05:00:00Z	2019-01-07T05:00:00Z	3	0	2	12	1		201	0	60	30	3	NA	NA	NA	10	10	9	10	10	10	92	9	39	67	223	within an hour	100	FALSE	TRUE	FALSE	6	6	BR		FALSE
2228863	https://www.airbnb.com/rooms/2228863	Apartment	Entire home/apt	Real Bed	2	30	moderate	2014-02-12T05:00:00Z	2018-06-22T04:00:00Z	4	1	1	55	1		903	2500	290	50	2	6000	NA	NA	10	9	10	10	10	9	95	0	0	0	0	NA	NA	FALSE	TRUE	FALSE	1	1	HK		TRUE
22335017	https://www.airbnb.com/rooms/22335017	House	Private room	Real Bed	1	1125	strict_14_with_grace_period	2017-12-23T05:00:00Z	2018-01-05T05:00:00Z	2	1	2	4	1		63	200	20	0	1	NA	NA	NA	8	8	10	8	10	10	85	0	0	0	0	NA	NA	FALSE	TRUE	TRUE	2	2	AU		TRUE
22337456	https://www.airbnb.com/rooms/22337456	Apartment	Entire home/apt	Real Bed	1	1125	moderate	2018-01-04T05:00:00Z	2019-02-19T05:00:00Z	4	1	2	116	1		119	200	60	15	2	NA	NA	NA	10	9	10	10	9	9	94	1	10	30	242	within an hour	100	FALSE	TRUE	FALSE	1	1	AU		TRUE
22344471	https://www.airbnb.com/rooms/22344471	Apartment	Entire home/apt	Real Bed	7	365	strict_14_with_grace_period	2018-04-02T04:00:00Z	2018-04-02T04:00:00Z	4	2	2	1	2		850	2000	300	0	1	NA	NA	NA	10	10	10	10	10	8	100	23	52	82	357	within a few hours	100	FALSE	TRUE	TRUE	53	53	AU		TRUE
22362074	https://www.airbnb.com/rooms/22362074	Hostel	Shared room	Real Bed	1	1125	flexible	NA	NA	2	1	1	0	1		31	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	FALSE	TRUE	TRUE	0	0	CA		TRUE
